role,description,required_skills,education_level,tools_technologies,learning_path,personality_traits,domain_industries,average_salary_range,job_demand_level,career_growth_score,related_roles,education,experience,salary_range
Computer Vision Engineer,Creates systems that understand images and video.,"Cloud Computing, Computer Vision, Data Visualization, Java, Natural Language Processing, R, Statistics",Bachelor's,"Apache Spark,Jupyter,Tableau,Scikit-Learn",Step 1: Computer Vision|Step 2: Data Visualization|Step 3: Statistics|Step 4: R|Step 5: Cloud Computing|Step 6: Natural Language Processing,"Curious,Team Player","Education,Manufacturing",$83000 - $141000,High,96.0,"Robotics Engineer,AI Software Developer",,,
AI Product Manager,Manages the lifecycle of AI-based products.,"Aws, Data Wrangling, Natural Language Processing, Pandas, R, Sql",PhD,"Jupyter,Azure ML",Step 1: R|Step 2: AWS|Step 3: Natural Language Processing|Step 4: Pandas|Step 5: SQL|Step 6: Data Wrangling,"Creative,Curious,Detail-Oriented","Automotive,Education",$60000 - $118000,Medium,90.0,"Speech Recognition Engineer,Autonomous Vehicle Engineer",,,
Machine Learning Engineer,Designs and builds ML models for intelligent applications.,"Aws, Data Wrangling, Java, Pandas, Reinforcement Learning, Sql",Bachelor's,"Hadoop,Jupyter",Step 1: AWS|Step 2: Reinforcement Learning|Step 3: Data Wrangling|Step 4: SQL|Step 5: Pandas,"Curious,Innovative,Detail-Oriented","Manufacturing,Retail",$78000 - $116000,Low,70.0,"Autonomous Vehicle Engineer,AI Product Manager",,,
Data Analyst,Processes and visualizes data to generate insights.,"Cloud Computing, Computer Vision, Data Analysis, Sql, Statistics, Tensorflow",PhD,"Kubernetes,Jupyter",Step 1: TensorFlow|Step 2: Computer Vision|Step 3: SQL|Step 4: Statistics|Step 5: Cloud Computing,"Team Player,Detail-Oriented","Retail,Manufacturing,Automotive",$71000 - $135000,Low,78.0,"AI Researcher,Robotics Engineer",,,
Reinforcement Learning Engineer,Applies RL techniques to autonomous systems.,"Ai Ethics, Computer Vision, Java, Numpy, Pytorch",PhD,"Power BI,Keras,Kubernetes",Step 1: Computer Vision|Step 2: PyTorch|Step 3: Numpy|Step 4: AI Ethics,"Curious,Analytical,Team Player","Education,Defense",$78000 - $115000,High,99.0,"AI Software Developer,Machine Learning Engineer",,,
AI Researcher,Explores new algorithms and theories in artificial intelligence.,"Azure, Big Data, Natural Language Processing, Python, R, Reinforcement Learning",PhD,"Docker,Keras",Step 1: Natural Language Processing|Step 2: Reinforcement Learning|Step 3: R|Step 4: Python|Step 5: Azure|Step 6: Big Data,"Team Player,Curious","Manufacturing,E-commerce",$87000 - $125000,High,68.0,"Computer Vision Engineer,Data Scientist",,,
Computer Vision Engineer,Creates systems that understand images and video.,"Computer Vision, Data Visualization, Java, Natural Language Processing, R, Statistics",Master's,"Azure ML,Keras",Step 1: Statistics|Step 2: Data Visualization|Step 3: R|Step 4: Computer Vision|Step 5: Natural Language Processing,"Creative,Logical,Analytical","Manufacturing,Healthcare",$68000 - $112000,High,97.0,"Robotics Engineer,Machine Learning Engineer",,,
Speech Recognition Engineer,Develops systems that understand spoken language.,"Computer Vision, Java, Pandas, Python, Pytorch, R, Tensorflow",Bachelor's,"Tableau,Keras,Jupyter,Docker",Step 1: Pandas|Step 2: Python|Step 3: R|Step 4: Computer Vision|Step 5: TensorFlow|Step 6: PyTorch,"Team Player,Detail-Oriented","Retail,Defense,Healthcare",$83000 - $146000,Low,89.0,"NLP Engineer,AI Solutions Architect",,,
Deep Learning Specialist,Builds deep neural networks for various AI tasks.,"Computer Vision, Data Wrangling, Pandas, R, Sql, Tensorflow",Master's,"Jupyter,Keras,Power BI",Step 1: SQL|Step 2: Data Wrangling|Step 3: TensorFlow|Step 4: Pandas|Step 5: R|Step 6: Computer Vision,"Team Player,Innovative","Finance,Healthcare",$60000 - $110000,Low,84.0,"Machine Learning Engineer,Reinforcement Learning Engineer",,,
AI Product Manager,Manages the lifecycle of AI-based products.,"Ai Ethics, Computer Vision, Numpy, Tensorflow",PhD,"Kubernetes,Keras",Step 1: TensorFlow|Step 2: AI Ethics|Step 3: Numpy|Step 4: Computer Vision,"Creative,Innovative","Healthcare,E-commerce",$67000 - $129000,Low,69.0,"Machine Learning Engineer,Deep Learning Specialist",,,
Cybersecurity AI Specialist,Uses AI to detect and prevent cyber threats.,"Computer Vision, Feature Engineering, Numpy, Pytorch, Tensorflow",Bachelor's,"Google Cloud AI,Apache Spark,Kubernetes,Hadoop",Step 1: PyTorch|Step 2: Numpy|Step 3: Feature Engineering|Step 4: Computer Vision|Step 5: TensorFlow,"Team Player,Creative","Manufacturing,Healthcare",$78000 - $116000,High,62.0,"Healthcare AI Specialist,Autonomous Vehicle Engineer",,,
NLP Engineer,Works on models to understand and generate human language.,"Azure, Data Visualization, Java, Statistics, Tensorflow",PhD,"Jupyter,Scikit-Learn,Docker",Step 1: Data Visualization|Step 2: Statistics|Step 3: TensorFlow|Step 4: Azure,"Curious,Analytical","Education,Finance,Retail",$64000 - $159000,High,71.0,"Data Analyst,AI Product Manager",,,
Robotics Engineer,Designs and builds robotic systems powered by AI.,"Java, Natural Language Processing, Pytorch, R, Sql, Tensorflow",PhD,"Scikit-Learn,Power BI,Docker",Step 1: PyTorch|Step 2: Natural Language Processing|Step 3: SQL|Step 4: TensorFlow|Step 5: R,"Logical,Team Player,Innovative","Retail,E-commerce",$88000 - $121000,High,98.0,"Cybersecurity AI Specialist,AI Product Manager",,,
AI Software Developer,Codes software with integrated AI capabilities.,"Ai Ethics, Java, Pandas, Python, Statistics",Master's,"Tableau,Azure ML,Google Cloud AI,Power BI",Step 1: Statistics|Step 2: Pandas|Step 3: Python|Step 4: AI Ethics,"Team Player,Logical","Manufacturing,Education",$99000 - $117000,High,95.0,"NLP Engineer,Cybersecurity AI Specialist",,,
Deep Learning Specialist,Builds deep neural networks for various AI tasks.,"Ai Ethics, Deep Learning, R, Reinforcement Learning, Sql, Statistics",PhD,"Scikit-Learn,Jupyter",Step 1: AI Ethics|Step 2: R|Step 3: SQL|Step 4: Reinforcement Learning|Step 5: Statistics|Step 6: Deep Learning,"Team Player,Curious,Detail-Oriented","Healthcare,Defense,Manufacturing",$81000 - $137000,Low,94.0,"AI Ethicist,Computer Vision Engineer",,,
Data Analyst,Processes and visualizes data to generate insights.,"Aws, Azure, Big Data, Cloud Computing, Computer Vision, Data Analysis, Statistics",PhD,"Hadoop,Power BI,Kubernetes",Step 1: Statistics|Step 2: AWS|Step 3: Cloud Computing|Step 4: Computer Vision|Step 5: Big Data|Step 6: Azure,"Team Player,Creative,Analytical","E-commerce,Defense,Healthcare",$66000 - $125000,High,62.0,"Machine Learning Engineer,NLP Engineer",,,
Cloud AI Engineer,Implements AI systems in cloud environments.,"Computer Vision, Feature Engineering, Java, Python, Pytorch, Reinforcement Learning",PhD,"Jupyter,Tableau,Keras",Step 1: Reinforcement Learning|Step 2: Feature Engineering|Step 3: Computer Vision|Step 4: PyTorch|Step 5: Python,"Detail-Oriented,Curious,Innovative","E-commerce,Defense,Healthcare",$80000 - $131000,High,89.0,"AI Ethicist,Machine Learning Engineer",,,
AI Researcher,Explores new algorithms and theories in artificial intelligence.,"Feature Engineering, Numpy, Pandas, Python",Master's,"Scikit-Learn,Tableau,Hadoop",Step 1: Python|Step 2: Pandas|Step 3: Feature Engineering|Step 4: Numpy,"Creative,Detail-Oriented,Logical","Education,E-commerce,Manufacturing",$60000 - $159000,Medium,79.0,"Deep Learning Specialist,Business Intelligence Developer",,,
NLP Engineer,Works on models to understand and generate human language.,"Feature Engineering, Java, Python, Pytorch, Statistics",Bachelor's,"Tableau,Docker,Kubernetes",Step 1: Feature Engineering|Step 2: Statistics|Step 3: Python|Step 4: PyTorch,"Curious,Team Player,Logical","Manufacturing,Finance",$86000 - $117000,High,80.0,"Data Analyst,Business Intelligence Developer",,,
Cloud AI Engineer,Implements AI systems in cloud environments.,"Azure, Java, Python, Reinforcement Learning, Tensorflow",PhD,"Scikit-Learn,Hadoop",Step 1: TensorFlow|Step 2: Python|Step 3: Azure|Step 4: Reinforcement Learning,"Curious,Detail-Oriented,Creative","Retail,Finance,Automotive",$68000 - $150000,Low,99.0,"Computer Vision Engineer,AI Product Manager",,,
AI Researcher,Explores new algorithms and theories in artificial intelligence.,"Pandas, Pytorch, Reinforcement Learning, Sql",PhD,"Azure ML,Power BI,Apache Spark",Step 1: Reinforcement Learning|Step 2: PyTorch|Step 3: Pandas|Step 4: SQL,"Creative,Curious,Analytical","Healthcare,E-commerce,Manufacturing",$77000 - $130000,Low,81.0,"AI Software Developer,Data Analyst",,,
NLP Engineer,Works on models to understand and generate human language.,"Computer Vision, Java, Natural Language Processing, Pytorch, Sql, Statistics, Tensorflow",Bachelor's,"Google Cloud AI,Power BI,Docker,Azure ML",Step 1: SQL|Step 2: PyTorch|Step 3: TensorFlow|Step 4: Natural Language Processing|Step 5: Statistics|Step 6: Computer Vision,"Innovative,Curious","Defense,Healthcare,E-commerce",$90000 - $124000,Medium,82.0,"Cloud AI Engineer,Computer Vision Engineer",,,
NLP Engineer,Works on models to understand and generate human language.,"Aws, Big Data, Deep Learning, Java, R, Reinforcement Learning",PhD,"Kubernetes,Keras,Apache Spark,Power BI",Step 1: AWS|Step 2: Deep Learning|Step 3: Big Data|Step 4: R|Step 5: Reinforcement Learning,"Logical,Creative,Detail-Oriented","E-commerce,Manufacturing",$81000 - $119000,Low,78.0,"AI Product Manager,Robotics Engineer",,,
Autonomous Vehicle Engineer,Develops AI for self-driving technologies.,"Data Wrangling, Feature Engineering, Java, Python, R",Master's,"Apache Spark,Jupyter,Google Cloud AI,Power BI",Step 1: R|Step 2: Feature Engineering|Step 3: Data Wrangling|Step 4: Python,"Creative,Innovative","Defense,Healthcare",$61000 - $156000,Low,79.0,"Healthcare AI Specialist,AI Product Manager",,,
Robotics Engineer,Designs and builds robotic systems powered by AI.,"Azure, Big Data, Cloud Computing, Computer Vision, Data Visualization, Java",Bachelor's,"Keras,Docker",Step 1: Azure|Step 2: Computer Vision|Step 3: Cloud Computing|Step 4: Data Visualization|Step 5: Big Data,"Logical,Innovative,Curious","Healthcare,E-commerce,Retail",$77000 - $154000,High,93.0,"Business Intelligence Developer,Data Analyst",,,
Deep Learning Specialist,Builds deep neural networks for various AI tasks.,"Computer Vision, Data Wrangling, Natural Language Processing, Python, Reinforcement Learning",Bachelor's,"Hadoop,Kubernetes,Scikit-Learn,Tableau",Step 1: Data Wrangling|Step 2: Python|Step 3: Natural Language Processing|Step 4: Reinforcement Learning|Step 5: Computer Vision,"Creative,Detail-Oriented","Manufacturing,Education",$97000 - $116000,Low,82.0,"AI Consultant,Cloud AI Engineer",,,
Data Analyst,Processes and visualizes data to generate insights.,"Ai Ethics, Computer Vision, Data Analysis, Natural Language Processing, Numpy, Python",Master's,"Azure ML,Apache Spark,Scikit-Learn",Step 1: Numpy|Step 2: Natural Language Processing|Step 3: AI Ethics|Step 4: Python|Step 5: Computer Vision,"Logical,Innovative","Healthcare,Finance,Manufacturing",$70000 - $118000,Low,81.0,"AI Ethicist,NLP Engineer",,,
Robotics Engineer,Designs and builds robotic systems powered by AI.,"Aws, Big Data, Java, Sql, Statistics, Tensorflow",PhD,"Tableau,Google Cloud AI",Step 1: SQL|Step 2: AWS|Step 3: Statistics|Step 4: Big Data|Step 5: TensorFlow,"Creative,Logical,Curious","Finance,Retail,Automotive",$85000 - $117000,High,93.0,"NLP Engineer,AI Software Developer",,,
Data Analyst,Processes and visualizes data to generate insights.,"Computer Vision, Data Analysis, Natural Language Processing, Python, Pytorch",PhD,"Azure ML,Google Cloud AI,Jupyter,Keras",Step 1: Natural Language Processing|Step 2: Python|Step 3: Computer Vision|Step 4: PyTorch,"Analytical,Detail-Oriented","E-commerce,Retail",$99000 - $122000,High,71.0,"AI Consultant,AI Solutions Architect",,,
Healthcare AI Specialist,Applies AI to diagnose and treat medical conditions.,"Computer Vision, Data Visualization, Python, Reinforcement Learning, Statistics",PhD,"Hadoop,Google Cloud AI,Docker",Step 1: Python|Step 2: Computer Vision|Step 3: Reinforcement Learning|Step 4: Statistics|Step 5: Data Visualization,"Curious,Logical","E-commerce,Defense,Manufacturing",$81000 - $139000,Low,74.0,"AI Ethicist,AI Product Manager",,,
AI Researcher,Explores new algorithms and theories in artificial intelligence.,"Feature Engineering, Python, Pytorch, Sql, Statistics",Bachelor's,"Kubernetes,Azure ML,Hadoop",Step 1: Python|Step 2: Feature Engineering|Step 3: PyTorch|Step 4: Statistics|Step 5: SQL,"Curious,Detail-Oriented","E-commerce,Healthcare",$98000 - $115000,High,97.0,"Healthcare AI Specialist,AI Consultant",,,
Business Intelligence Developer,Develops BI solutions to analyze business data.,"Azure, Big Data, Business Intelligence, Deep Learning, Java, Numpy",Master's,"Keras,Tableau,Apache Spark",Step 1: Big Data|Step 2: Deep Learning|Step 3: Numpy|Step 4: Azure,"Logical,Innovative","Retail,Manufacturing",$98000 - $130000,High,77.0,"Healthcare AI Specialist,Speech Recognition Engineer",,,
Data Scientist,Analyzes and interprets complex data to help organizations make decisions.,"Ai Ethics, Cloud Computing, Data Analysis, Data Visualization, Data Wrangling, Pandas, Sql",Master's,"Scikit-Learn,Kubernetes,Tableau",Step 1: Data Visualization|Step 2: Cloud Computing|Step 3: Data Wrangling|Step 4: Pandas|Step 5: SQL|Step 6: AI Ethics,"Analytical,Curious","Healthcare,E-commerce",$81000 - $116000,High,65.0,"AI Software Developer,Computer Vision Engineer",,,
Autonomous Vehicle Engineer,Develops AI for self-driving technologies.,"Computer Vision, Feature Engineering, Java, Natural Language Processing, Statistics",Master's,"Scikit-Learn,Kubernetes,Power BI",Step 1: Feature Engineering|Step 2: Natural Language Processing|Step 3: Computer Vision|Step 4: Statistics,"Team Player,Curious","E-commerce,Retail",$93000 - $157000,Medium,98.0,"Deep Learning Specialist,AI Solutions Architect",,,
Robotics Engineer,Designs and builds robotic systems powered by AI.,"Data Visualization, Java, Natural Language Processing, Pandas, Python, R, Sql",PhD,"Azure ML,Jupyter,Keras,Apache Spark",Step 1: Data Visualization|Step 2: Natural Language Processing|Step 3: SQL|Step 4: R|Step 5: Python|Step 6: Pandas,"Detail-Oriented,Logical,Innovative","E-commerce,Automotive,Defense",$70000 - $116000,Low,66.0,"Deep Learning Specialist,Speech Recognition Engineer",,,
Speech Recognition Engineer,Develops systems that understand spoken language.,"Data Wrangling, Deep Learning, Java, Numpy, Pandas, Sql",Master's,"Azure ML,Scikit-Learn",Step 1: Numpy|Step 2: Pandas|Step 3: Data Wrangling|Step 4: Deep Learning|Step 5: SQL,"Team Player,Logical,Analytical","Finance,Education,Automotive",$69000 - $129000,Low,96.0,"AI Solutions Architect,Data Analyst",,,
Machine Learning Engineer,Designs and builds ML models for intelligent applications.,"Big Data, Deep Learning, Java, Natural Language Processing, Pandas",Bachelor's,"Google Cloud AI,Tableau,Azure ML",Step 1: Pandas|Step 2: Big Data|Step 3: Natural Language Processing|Step 4: Deep Learning,"Team Player,Logical","Retail,E-commerce",$68000 - $136000,Medium,65.0,"AI Researcher,Autonomous Vehicle Engineer",,,
Cloud AI Engineer,Implements AI systems in cloud environments.,"Cloud Computing, Data Visualization, Feature Engineering, Java, Natural Language Processing, Sql",Master's,"Azure ML,Kubernetes,Docker",Step 1: Natural Language Processing|Step 2: Data Visualization|Step 3: Feature Engineering|Step 4: Cloud Computing|Step 5: SQL,"Curious,Logical,Creative","Automotive,Manufacturing,Healthcare",$66000 - $119000,High,79.0,"AI Solutions Architect,Business Intelligence Developer",,,
NLP Engineer,Works on models to understand and generate human language.,"Ai Ethics, Azure, Java, Python, R, Tensorflow",Master's,"Power BI,Tableau,Kubernetes",Step 1: Azure|Step 2: Python|Step 3: AI Ethics|Step 4: R|Step 5: TensorFlow,"Team Player,Detail-Oriented","E-commerce,Manufacturing,Automotive",$92000 - $136000,Medium,84.0,"AI Solutions Architect,AI Software Developer",,,
Cybersecurity AI Specialist,Uses AI to detect and prevent cyber threats.,"Big Data, Cloud Computing, Pytorch, Reinforcement Learning, Statistics, Tensorflow",Bachelor's,"Power BI,Tableau,Apache Spark",Step 1: Reinforcement Learning|Step 2: Big Data|Step 3: TensorFlow|Step 4: Statistics|Step 5: PyTorch|Step 6: Cloud Computing,"Creative,Logical","Education,Manufacturing,E-commerce",$99000 - $143000,High,94.0,"Machine Learning Engineer,Reinforcement Learning Engineer",,,
AI Consultant,Advises businesses on AI strategies and implementation.,"Cloud Computing, R, Reinforcement Learning, Tensorflow",Master's,"Keras,Apache Spark",Step 1: Cloud Computing|Step 2: R|Step 3: TensorFlow|Step 4: Reinforcement Learning,"Curious,Creative,Team Player","E-commerce,Healthcare,Education",$81000 - $126000,High,66.0,"Autonomous Vehicle Engineer,AI Solutions Architect",,,
Machine Learning Engineer,Designs and builds ML models for intelligent applications.,"Azure, Computer Vision, Data Visualization, Java, Python, Pytorch, R",Master's,"Keras,Power BI,Tableau",Step 1: Python|Step 2: R|Step 3: Data Visualization|Step 4: PyTorch|Step 5: Azure|Step 6: Computer Vision,"Detail-Oriented,Curious,Analytical","E-commerce,Defense",$83000 - $131000,Low,91.0,"Data Scientist,AI Ethicist",,,
AI Researcher,Explores new algorithms and theories in artificial intelligence.,"Cloud Computing, Natural Language Processing, Python, Sql, Statistics, Tensorflow",Master's,"Jupyter,Apache Spark,Scikit-Learn,Azure ML",Step 1: TensorFlow|Step 2: Python|Step 3: Natural Language Processing|Step 4: Statistics|Step 5: Cloud Computing|Step 6: SQL,"Logical,Creative","Retail,Automotive,Defense",$91000 - $140000,Low,82.0,"Cybersecurity AI Specialist,Deep Learning Specialist",,,
